"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Anson County, NC",26310,22,24,54,15,72,19.9,-7.4,88.2,21680,82,371
"Monroe County, IA",8020,12,11,42,12,90,9.9,-1.7,33.2,0,0,2090
"Amador County, CA",37160,12,13,61,11,86,-0.9,0.6,56.1,780,2,1375
"Lemhi County, ID",7830,8,22,49,6,73,-1.1,-3.3,60.1,10,0,1248
"O'Brien County, IA",14170,9,10,36,8,100,3.4,-3.1,17.7,0,0,2575
"Payette County, ID",22660,15,19,46,7,94,-2.6,0.2,48.3,0,0,1618
"Macon County, IL",109830,11,18,45,10,82,0.1,-2.2,56.8,51090,47,1353
"Macoupin County, IL",47230,11,13,43,9,89,-3.7,-4.2,49.4,4780,10,1583
"Wilson County, NC",81500,21,24,47,9,84,2.3,-1.4,69.3,43280,53,961
"Marshall County, IL",12320,9,12,44,9,94,-7.2,0,35,0,0,2033
"Adams County, IA",3940,10,11,38,12,90,-2.2,-0.8,36.8,0,0,1977
"Preston County, WV",33720,17,14,50,10,110,-2,-5.2,60.2,5430,16,1246
"Benton County, IA",25900,8,9,35,8,112,0.8,-1,11.7,0,0,2764
"Chester County, TN",17270,19,20,51,11,92,9.4,-1.7,59.9,1300,8,1257
"Niobrara County, WY",2490,8,18,44,11,68,32.5,13.4,31.3,0,0,2150
"Henry County, VA",52960,22,18,51,13,53,-12,-6.5,94.6,45420,86,170
"Washington County, WI",132530,7,6,32,4,128,8.9,1,1.2,0,0,3092
"Pipestone County, MN",9410,15,12,36,10,77,-2.3,0.6,44.1,0,0,1748
"King George County, VA",24580,8,6,36,11,128,6.7,0.4,7.8,0,0,2885
"Cook County, MN",5200,5,9,38,4,85,6.4,2.2,6.2,0,0,2934
"Elk County, PA",31580,9,10,43,6,88,2.1,-2.8,27.2,0,0,2278
"Steele County, MN",36470,8,11,35,6,92,7.8,0.2,7.6,0,0,2891
"Todd County, MN",24590,13,16,42,7,75,19.8,0.5,32.3,1410,6,2116
"Dade County, MO",7680,15,22,47,14,76,-7.5,-0.7,82.3,4140,54,556
"Forest County, PA",7650,18,16,78,3,68,-22.8,-10.6,84.9,6990,91,475
"Anderson County, TN",75350,14,17,48,11,99,-5.2,-5.4,69.8,9950,13,947
"Elmore County, ID",26350,15,17,48,15,92,-7.1,-2.9,75.5,1820,7,766
"Ford County, KS",34600,31,19,35,8,99,0.6,-1.3,46,0,0,1691
"Kearny County, KS",3950,19,8,34,14,106,-24.6,1.2,41.4,0,0,1833
"Rockdale County, GA",86260,14,16,44,11,106,8,-5.4,45.2,26790,31,1716
"Dawes County, NE",9140,6,17,39,11,79,0.7,-5.8,50.6,1440,16,1547
"Marion County, OR",320450,16,19,46,5,94,-1.1,0.2,46.1,54970,17,1689
"Dallam County, TX",6960,26,18,33,15,78,-3.8,-5.5,81.3,0,0,585
"Shelby County, IN",44430,14,12,40,9,107,1.7,-0.7,26.1,0,0,2311
"Luzerne County, PA",320390,11,16,45,11,85,5.7,-2.1,47.3,87620,27,1649
"Livingston County, MO",15030,13,16,47,14,94,-12.6,-5.4,74,680,5,814
"Maries County, MO",9100,17,17,51,13,87,0.2,-0.7,70.1,4740,52,936
"Waseca County, MN",19130,8,10,37,4,89,-5.5,-6.6,30.9,0,0,2162
"Randolph County, AL",22720,26,24,53,9,84,-0.7,-0.6,78.3,13050,57,679
"Roscommon County, MI",24140,14,22,65,6,68,2.5,-5.3,77.7,16680,69,697
"Bronx County, NY",1413570,30,31,50,7,58,5.5,4.5,68.3,586080,42,993
"Hayes County, NE",1150,12,7,34,11,93,31.4,-13,25.5,240,21,2332
"Madison County, NE",35100,12,15,32,6,91,0.4,2.5,20.8,0,0,2478
"Dickey County, ND",5230,13,9,35,12,91,-0.9,-0.4,33,40,1,2097
